kabupaten_kota,Garis_Kemiskinan,Indeks_Pembangunan_Manusia,Persen_Penduduk_Miskin,Tingkat Pengangguran Terbuka,Upah Minimum,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk,tahun,kuartal,PDRB,Proksi Inflasi,Laju_Inflasi,Gini_Ratio,investasi_per_kapita,Jumlah Perusahaan Kecil,Composite_Risk_Score_Normalized
PROBOLINGGO,525999.0,70.60499999999999,16.82,3.12,2806955.0,1181.0500000000002,0.77,2.83,682.0,97.5,2023,3.0,6603.36,Kota Malang,2.27,0.329,662.3842791906964,47,0.40027998551484706
SAMPANG,473234.5,66.455,21.295,2.6100000000000003,2182861.0,1010.4,1.29,2.42,818.0,98.9,2023,3.0,3813.0,Kabupaten Sumenep,4.47,0.2435,19.812285714229105,10,1.0954979842207897
SIDOARJO,584490.0,82.275,4.765000000000001,7.2700000000000005,4638582.0,2160.1,1.14,5.17,2968.0,101.1,2023,3.0,40569.88,Kota Surabaya,3.14,0.34299999999999997,323.2271013831644,579,-2.190100996182975
SITUBONDO,405099.0,70.935,11.705,3.21,2172287.0,698.85,0.58,1.68,421.0,96.6,2023,3.0,3932.08,Kabupaten Jember,3.05,0.35550000000000004,1004.1690196039052,39,0.948387198785099
SUMENEP,489214.5,69.455,18.240000000000002,1.7,2249113.0,1149.9,0.71,2.76,550.0,94.0,2023,3.0,6918.36,Kabupaten Sumenep,4.47,0.2975,235.4624999852836,24,0.9429424117690648
SURABAYA,730524.0,84.34,4.305,5.835,4725479.0,2916.7,1.29,7.01,8667.0,98.1,2023,3.0,116286.17,Kota Surabaya,3.14,0.402,718.7179813748673,1907,-4.141800496805348
TRENGGALEK,422836.5,72.215,10.565000000000001,4.21,2223163.0,742.85,0.5,1.78,593.0,100.6,2023,3.0,3679.26,Kota Kediri,2.55,0.34299999999999997,787.4576922774055,12,0.6783257947202281
TUBAN,471233.5,71.855,14.635,4.34,2864225.0,1221.9,0.62,2.93,617.0,99.7,2023,3.0,12583.62,Kota Surabaya,3.14,0.3365,1845.3007751890304,84,0.18614471999057305
TULUNGAGUNG,435834.0,74.89,6.405,4.885,2320000.0,1110.85,0.6,2.67,968.0,100.1,2023,3.0,7909.09,Kota Kediri,2.55,0.3245,502.7703196324075,86,0.2255250943258112
BANGKALAN,536064.5,67.2025,18.8325,5.557499999999999,2240701.0,1099.825,1.07,2.63,839.0,97.6,2023,4.0,4231.51,Kota Surabaya,3.03,0.3005,3610.462499548692,30,0.6079583350568302
BANYUWANGI,465266.75,74.1725,6.74,4.21,2638628.0,1751.775,0.76,4.2,485.0,100.1,2023,4.0,15617.12,Kabupaten Banyuwangi,2.15,0.32175,2259.293935306928,145,-0.21197340969806383
BATU,635579.75,79.535,3.1225,3.8525,3155367.0,222.075,3.38,0.53,1134.0,101.3,2023,4.0,3265.79,Kota Malang,2.56,0.32775,189.748214282326,39,-0.29383601536172116
BLITAR,403232.5,73.28999999999999,8.2925,4.805,2256050.0,1261.175,0.88,3.02,718.0,101.2,2023,4.0,6911.6,Kota Kediri,2.64,0.35475,23.852181208013672,22,0.2536068914062295
BOJONEGORO,462576.75,72.5125,11.8125,4.4725,2371016.0,1323.875,0.5,3.18,571.0,100.7,2023,4.0,15086.12,Kota Surabaya,3.03,0.30325,43.785131195207626,93,0.22572847784139075
BONDOWOSO,511805.75,71.055,12.785,3.76,2183590.0,791.275,0.56,1.9,507.0,97.2,2023,4.0,3753.41,Kabupaten Jember,2.29,0.33725,10736.191110872527,31,0.6989482497837558
GRESIK,603700.0,78.8075,10.48,6.5425,4642031.0,1360.6,1.08,3.25,1075.0,101.4,2023,4.0,28796.56,Kota Surabaya,3.03,0.324,1035.3771845903275,274,-1.3233752901098432
JEMBER,454575.0,70.80250000000001,9.135,3.425,2665392.0,2599.55,0.71,6.23,781.0,99.3,2023,4.0,14721.27,Kabupaten Jember,2.29,0.32675,55.67289204096253,158,-0.38156836759653057
JOMBANG,507816.0,75.5425,8.7375,3.9775,2945544.0,1359.85,0.91,3.25,1218.0,101.6,2023,4.0,7698.23,Kota Surabaya,3.03,0.31125,104.39271924980451,82,-0.16228326727865472
KEDIRI,399184.25,75.055,10.1425,5.2725,2340668.0,1686.7250000000001,0.92,4.04,1101.0,101.9,2023,4.0,8074.09,Kota Kediri,2.64,0.3015,798.9542901703604,72,0.04107957872865173
KOTA BLITAR,589148.75,81.275,6.8875,5.1425,2330000.0,154.525,2.86,0.37,4619.0,98.6,2023,4.0,1390.76,Kota Kediri,2.64,0.364,149.55555555318168,48,-0.1433036748486651
KOTA KEDIRI,612719.0,81.6525,6.67,3.9475,2415362.0,297.45,2.94,0.71,4391.0,100.5,2023,4.0,23699.21,Kota Kediri,2.64,0.35275,751.6156681993014,114,-0.5162893526963275
KOTA MADIUN,629661.25,84.31,4.47,4.6875,2274277.0,201.35000000000002,2.45,0.48,5536.0,95.9,2023,4.0,3010.19,Kota Madiun,2.35,0.43025,250.48333333214052,91,-0.42510422006519627
KOTA MALANG,698420.75,84.51,3.9975,6.2749999999999995,3309144.0,870.85,2.55,2.08,7790.0,98.9,2023,4.0,15436.28,Kota Malang,2.56,0.41974999999999996,862.7343485610298,313,-1.6191303885609836
KOTA MOJOKERTO,603477.5,81.545,5.62,4.0024999999999995,2832710.0,137.075,2.8,0.33,6732.0,98.3,2023,4.0,1382.49,Kota Surabaya,3.03,0.356,25.46987341765704,127,-0.3689992795253903
KOTA PASURUAN,548024.25,78.75,6.390000000000001,4.8825,3138838.0,218.65,4.04,0.52,5549.0,100.1,2023,4.0,1708.89,Kota Malang,2.56,0.34500000000000003,15.325433525982032,55,-0.3890304878050307
KOTA PROBOLINGGO,647901.75,77.575,6.255,4.4625,2701086.0,248.875,3.08,0.59,4517.0,98.5,2023,4.0,2402.45,Kota Malang,2.56,0.34475,56.3200510854964,47,-0.255088637972313
LAMONGAN,513969.25,75.7475,12.225,4.62,2828323.0,1376.025,0.68,3.3,781.0,100.1,2023,4.0,7218.91,Kota Surabaya,3.03,0.28450000000000003,616.617438690418,143,0.00757478259769177
LUMAJANG,400600.75,70.075,8.72,3.3775,2281469.0,1144.2,0.64,2.74,634.0,97.8,2023,4.0,6110.82,Kabupaten Jember,2.29,0.37,252.45952848698187,28,0.5808980046033089
MADIUN,454477.75,74.6125,10.7325,4.54,2243291.0,756.9749999999999,0.49,1.82,678.0,98.0,2023,4.0,3795.12,Kota Madiun,2.35,0.31725000000000003,359.0960159355397,32,0.6281415311249061
MAGETAN,449140.0,76.6525,9.440000000000001,3.5,2238808.0,684.55,0.59,1.64,965.0,96.8,2023,4.0,3684.29,Kota Madiun,2.35,0.3715,754.599999969816,19,0.5681778778153166
MALANG,415162.25,73.39750000000001,9.0975,5.2725,3368275.0,2730.9,0.83,6.54,782.0,101.2,2023,4.0,19350.51,Kota Malang,2.56,0.35175,297.6808809746024,148,-0.9087759671951919
MOJOKERTO,503093.5,76.575,9.4775,4.07,4624787.0,1152.1,0.85,2.76,1163.0,101.1,2023,4.0,16773.96,Kota Surabaya,3.03,0.33725000000000005,362.5964893031472,29,-0.6937968280710846
NGANJUK,533176.75,75.10499999999999,10.35,4.0725,2258455.0,1130.025,0.68,2.71,872.0,101.1,2023,4.0,4892.85,Kota Kediri,2.64,0.29774999999999996,138.87618090438303,49,0.2312395460030709
NGAWI,437885.5,73.7525,13.9575,2.4025,2241054.0,883.25,0.44,2.12,631.0,98.3,2023,4.0,3901.53,Kota Madiun,2.35,0.29874999999999996,593.4220095679583,26,0.8542052168640916
PACITAN,366133.75,71.35249999999999,13.2225,1.6275,2199337.0,588.45,0.12,1.42,410.0,100.8,2023,4.0,2995.43,Kota Madiun,2.35,0.33325,132.7584717603563,19,1.1553319942308622
PAMEKASAN,458401.5,70.7175,13.52,1.665,2221135.0,882.475,1.09,2.11,1101.0,96.7,2023,4.0,2953.72,Kabupaten Sumenep,5.08,0.31275,942.3333330192222,44,0.8992893494035554
PASURUAN,444972.0,72.2475,8.7825,5.135,4635133.0,1654.025,0.86,3.96,1101.0,100.1,2023,4.0,30669.39,Kota Malang,2.56,0.34,1786.053635962717,141,-0.9210166818538326
PONOROGO,408981.5,73.57000000000001,9.215,4.3075,2235311.0,962.05,0.39,2.31,676.0,99.4,2023,4.0,3833.98,Kota Madiun,2.35,0.32975,178.13399503677883,51,0.5869757554796835
PROBOLINGGO,531861.5,70.72749999999999,16.634999999999998,3.06,2806955.0,1183.125,0.77,2.83,682.0,97.5,2023,4.0,6392.09,Kota Malang,2.56,0.334,946.975612052285,44,0.37913776961786516
SAMPANG,482493.75,66.5875,21.0625,2.555,2182861.0,1013.3499999999999,1.29,2.42,818.0,98.9,2023,4.0,3466.66,Kabupaten Sumenep,5.08,0.23825000000000002,2774.8499993062874,11,1.0858672653121295
SIDOARJO,590887.0,82.4725,4.6475,6.880000000000001,4638582.0,2165.8,1.14,5.17,2968.0,101.1,2023,4.0,41112.31,Kota Surabaya,3.03,0.335,451.94110738249617,596,-2.1798604949049794
SITUBONDO,409355.0,71.0775,11.6075,3.1799999999999997,2172287.0,699.7750000000001,0.58,1.68,421.0,96.6,2023,4.0,3642.17,Kabupaten Jember,2.29,0.37025,166.24565217319025,41,0.9137197617058511
SUMENEP,497891.75,69.6175,18.01,1.6949999999999998,2249113.0,1151.55,0.71,2.76,550.0,94.0,2023,4.0,6174.7,Kabupaten Sumenep,5.08,0.30274999999999996,23285700000000.0,25,0.5848773309333478
SURABAYA,736601.0,84.515,4.1325,5.3725000000000005,4725479.0,2919.35,1.29,7.01,8667.0,98.1,2023,4.0,117233.61,Kota Surabaya,3.03,0.3915,628.5043342035897,1959,-4.126896153702713
TRENGGALEK,428491.25,72.3425,10.5325,4.055,2223163.0,743.675,0.5,1.78,593.0,100.6,2023,4.0,3656.23,Kota Kediri,2.64,0.3465,13.10399999982528,14,0.6669331878306672
TUBAN,479682.25,72.08250000000001,14.497499999999999,4.3100000000000005,2864225.0,1223.55,0.62,2.93,617.0,99.7,2023,4.0,12720.27,Kota Surabaya,3.03,0.33575,5008.368322965813,85,0.16210738546739845
TULUNGAGUNG,441813.5,75.00999999999999,6.3425,4.5025,2320000.0,1112.375,0.6,2.67,968.0,100.1,2023,4.0,7401.3,Kota Kediri,2.64,0.32275,364.3337349353695,87,0.242402886102636
BANGKALAN,547017.0,67.33,18.66,5.35,2397550.0,1102.5,1.04,2.64,847.0,97.7,2024,1.0,4323.94,Kota Surabaya,2.99,0.301,472.3351351223694,31,0.5440494765095375
BANYUWANGI,470713.0,74.3,6.54,4.03,2810139.0,1754.4,0.72,4.2,488.0,100.0,2024,1.0,14990.88,Kabupaten Banyuwangi,2.67,0.312,327.2558399994764,145,-0.23768374168291673
BATU,642778.0,79.69,3.06,3.63,3360466.0,222.7,1.19,0.53,1147.0,101.3,2024,1.0,3270.35,Kota Malang,2.9,0.327,336.9339130405484,40,-0.21222701138885555
BLITAR,408399.0,73.44,8.16,4.77,2413974.0,1263.7,0.86,3.02,724.0,101.1,2024,1.0,7056.4,Kota Kediri,2.88,0.353,44.2407407406147,48,0.19877289784202162
BOJONEGORO,471457.0,72.75,11.69,4.42,2525132.0,1325.3,0.48,3.17,573.0,100.6,2024,1.0,15533.79,Kota Surabaya,2.99,0.31,51.455573505612726,96,0.14641940625569744
BONDOWOSO,517741.0,71.22,12.6,3.63,2347359.0,792.3,0.55,1.89,510.0,97.3,2024,1.0,3713.04,Kabupaten Jember,2.53,0.333,2844.205128186896,31,0.6478166892065025
GRESIK,608828.0,78.93,10.32,6.45,4874133.0,1364.0,1.06,3.26,1086.0,101.4,2024,1.0,29253.93,Kota Surabaya,2.99,0.322,1781.0775504014275,281,-1.402767050633018
JEMBER,459043.0,70.93,9.01,3.23,2838642.0,2603.8,0.7,6.23,786.0,99.3,2024,1.0,14645.47,Kabupaten Jember,2.53,0.321,247.2214095033384,161,-0.42244224138253444
JOMBANG,514170.0,75.67,8.6,3.75,3137004.0,1362.7,0.89,3.26,1228.0,101.6,2024,1.0,7895.34,Kota Surabaya,2.99,0.302,106.2319757364764,81,-0.2076466649398007
KEDIRI,403621.0,75.18,9.95,5.1,2492811.0,1689.9,0.88,4.04,1109.0,101.9,2024,1.0,7959.47,Kota Kediri,2.88,0.3,247.5850340132686,117,-0.0013929003297883586
KOTA BLITAR,596105.0,81.44,6.75,5.11,2481450.0,154.9,1.02,0.37,4664.0,98.5,2024,1.0,1395.97,Kota Kediri,2.88,0.353,3.2469498069473,48,-0.06404942273793628
KOTA KEDIRI,621051.0,81.88,6.51,3.91,2572361.0,298.2,1.05,0.71,4436.0,100.6,2024,1.0,24043.69,Kota Kediri,2.88,0.337,348.5446564872193,117,-0.4408873979066933
KOTA MADIUN,637838.0,84.51,4.38,4.3,2422105.0,201.8,0.89,0.48,5585.0,95.9,2024,1.0,3058.81,Kota Madiun,3.05,0.435,524.5372822281375,32,-0.3747088939438476
KOTA MALANG,706341.0,84.68,3.91,6.1,3507693.0,872.7,0.9,2.09,7857.0,98.8,2024,1.0,15428.14,Kota Malang,2.9,0.422,913.3675946537712,320,-1.583610698832886
KOTA MOJOKERTO,610968.0,81.76,5.57,3.76,3031000.0,137.4,0.99,0.33,6796.0,98.2,2024,1.0,1391.57,Kota Surabaya,2.99,0.357,35.79508928563438,28,-0.31488019231997977
KOTA PASURUAN,554195.0,78.9,6.32,4.63,3358557.0,219.4,1.43,0.52,5626.0,100.1,2024,1.0,1706.63,Kota Malang,2.9,0.334,111.73541666433886,144,-0.2657781674370044
KOTA PROBOLINGGO,654409.0,77.79,6.18,4.44,2876657.0,249.5,1.09,0.6,4564.0,98.6,2024,1.0,2365.56,Kota Malang,2.9,0.344,182.94729729647324,48,-0.19639211547100954
LAMONGAN,524636.0,75.9,12.16,4.34,3012164.0,1378.2,0.67,3.3,786.0,100.0,2024,1.0,7914.39,Kota Surabaya,2.99,0.281,140.6826107010421,144,-0.052934433731360885
LUMAJANG,405136.0,70.31,8.65,3.28,2429764.0,1145.9,0.63,2.74,638.0,97.8,2024,1.0,6094.54,Kabupaten Jember,2.53,0.363,772.642120679102,30,0.5411060459725839
MADIUN,460205.0,74.81,10.63,4.34,2400321.0,757.8,0.48,1.81,681.0,97.9,2024,1.0,3654.95,Kota Madiun,3.05,0.309,53.43619518219474,92,0.5978640790310275
MAGETAN,455119.0,76.77,9.32,3.28,2406719.0,685.5,0.58,1.64,970.0,96.8,2024,1.0,3678.83,Kota Madiun,3.05,0.371,16.609442724432494,19,0.5184745956192789
MALANG,420334.0,73.53,8.98,5.13,3553530.0,2736.0,0.81,6.54,788.0,101.1,2024,1.0,19366.79,Kota Malang,2.9,0.343,501.1454506980528,320,-0.9505338370605766
MOJOKERTO,508618.0,76.69,9.37,3.87,4856026.0,1154.3,0.83,2.76,1172.0,101.1,2024,1.0,17098.15,Kota Surabaya,2.99,0.337,233.36846741038363,130,-0.765869103120054
NGANJUK,539714.0,75.24,10.17,3.87,2405255.0,1131.8,0.67,2.71,878.0,101.0,2024,1.0,5369.35,Kota Kediri,2.88,0.289,473.32548512228544,51,0.1944809670241147
NGAWI,445865.0,73.91,13.81,2.4,2397928.0,884.1,0.43,2.11,633.0,98.1,2024,1.0,3660.79,Kota Madiun,3.05,0.289,619.8974137904315,26,0.814126460794155
PACITAN,370643.0,71.49,13.08,1.56,2364287.0,588.6,0.11,1.41,411.0,100.8,2024,1.0,3059.5,Kota Madiun,3.05,0.327,22.615254237224253,21,1.1094068746453773
PAMEKASAN,467493.0,70.85,13.41,1.64,2376614.0,884.7,1.07,2.12,1113.0,96.8,2024,1.0,3272.2,Kabupaten Sumenep,4.68,0.301,2.0881773398989063,44,0.8470174580888674
PASURUAN,450088.0,72.36,8.63,5.02,4866890.0,1657.2,0.84,3.96,1110.0,100.1,2024,1.0,30547.67,Kota Malang,2.9,0.331,613.1214133218161,54,-0.9777992041061326
PONOROGO,413619.0,73.7,9.11,4.19,2402959.0,962.9,0.38,2.3,679.0,99.3,2024,1.0,3953.78,Kota Madiun,3.05,0.326,401.7608888871033,52,0.5412893262754574
PROBOLINGGO,537724.0,70.85,16.45,3.0,2989407.0,1185.2,0.75,2.83,687.0,97.4,2024,1.0,6314.09,Kota Malang,2.9,0.339,1180.2290431827432,44,0.3083866544889376
SAMPANG,491753.0,66.72,20.83,2.5,2335661.0,1016.3,1.26,2.43,827.0,98.8,2024,1.0,3727.01,Kabupaten Sumenep,4.68,0.233,4625600000000.0,12,0.9625258954123521
SIDOARJO,597284.0,82.67,4.53,6.49,4870511.0,2171.5,1.12,5.19,2999.0,101.0,2024,1.0,41648.64,Kota Surabaya,2.99,0.327,498.2764196164733,602,-2.234895077420764
SITUBONDO,413611.0,71.22,11.51,3.15,2335209.0,700.7,0.57,1.68,424.0,96.6,2024,1.0,3787.45,Kabupaten Jember,2.53,0.385,90.4190476188754,41,0.8280762498740437
SUMENEP,506569.0,69.78,17.78,1.69,2406551.0,1153.2,0.68,2.76,553.0,94.1,2024,1.0,6522.73,Kabupaten Sumenep,4.68,0.308,225.52352941010648,27,0.832824838690441
SURABAYA,742678.0,84.69,3.96,4.91,4961753.0,2922.0,0.44,6.99,8698.0,98.0,2024,1.0,118510.36,Kota Surabaya,2.99,0.381,604.1033666296149,1994,-4.1241498817147395
TRENGGALEK,434146.0,72.47,10.5,3.9,2378784.0,744.5,0.49,1.78,596.0,100.5,2024,1.0,3509.02,Kota Kediri,2.88,0.35,4793.4999952065,15,0.616190769194986
TUBAN,488131.0,72.31,14.36,4.28,3050400.0,1225.2,0.6,2.93,621.0,99.7,2024,1.0,13055.96,Kota Surabaya,2.99,0.335,2039.0709923625209,86,0.08408173383516097
TULUNGAGUNG,447793.0,75.13,6.28,4.12,2470800.0,1113.9,0.58,2.66,973.0,100.1,2024,1.0,7535.06,Kota Kediri,2.88,0.321,32.29586776850607,88,0.2106158569334416
BANGKALAN,547017.0,67.33,18.66,5.35,2397550.0,1102.5,1.04,2.64,847.0,97.7,2024,2.0,4425.81,Kota Surabaya,2.35,0.301,10303.381481099874,31,0.5427749073688712
BANYUWANGI,470713.0,74.3,6.54,4.03,2810139.0,1754.4,0.72,4.2,488.0,100.0,2024,2.0,16136.94,Kabupaten Banyuwangi,2.38,0.312,113.84791051071598,145,-0.25202292444705926
BATU,642778.0,79.69,3.06,3.63,3360466.0,222.7,1.19,0.53,1147.0,101.3,2024,2.0,3457.79,Kota Malang,2.02,0.327,155.69243697413577,40,-0.21457220833745896
BLITAR,408399.0,73.44,8.16,4.77,2413974.0,1263.7,0.86,3.02,724.0,101.1,2024,2.0,7699.31,Kota Kediri,1.72,0.353,191.6846381090226,48,0.19072898740516298
BOJONEGORO,471457.0,72.75,11.69,4.42,2525132.0,1325.3,0.48,3.17,573.0,100.6,2024,2.0,16544.16,Kota Surabaya,2.35,0.31,72.50052113487405,96,0.13377793888677308
BONDOWOSO,517741.0,71.22,12.6,3.63,2347359.0,792.3,0.55,1.89,510.0,97.3,2024,2.0,4165.03,Kabupaten Jember,1.99,0.333,744.3010852701639,31,0.6421615165413865
GRESIK,608828.0,78.93,10.32,6.45,4874133.0,1364.0,1.06,3.26,1086.0,101.4,2024,2.0,29819.85,Kota Surabaya,2.35,0.322,1231.4888307393978,281,-1.4098476836737102
JEMBER,459043.0,70.93,9.01,3.23,2838642.0,2603.8,0.7,6.23,786.0,99.3,2024,2.0,16035.33,Kabupaten Jember,1.99,0.321,296.6534364259469,161,-0.43983178168724313
JOMBANG,514170.0,75.67,8.6,3.75,3137004.0,1362.7,0.89,3.26,1228.0,101.6,2024,2.0,8414.28,Kota Surabaya,2.35,0.302,197.62288645199945,81,-0.2141394973453472
KEDIRI,403621.0,75.18,9.95,5.1,2492811.0,1689.9,0.88,4.04,1109.0,101.9,2024,2.0,8383.72,Kota Kediri,1.72,0.3,1647.895381772384,117,-0.0067009979092278035
KOTA BLITAR,596105.0,81.44,6.75,5.11,2481450.0,154.9,1.02,0.37,4664.0,98.5,2024,2.0,1446.41,Kota Kediri,1.72,0.353,205.7881355914764,48,-0.0646805139391746
KOTA KEDIRI,621051.0,81.88,6.51,3.91,2572361.0,298.2,1.05,0.71,4436.0,100.6,2024,2.0,23140.95,Kota Kediri,1.72,0.337,35.18555871210455,117,-0.4295925670458485
KOTA MADIUN,637838.0,84.51,4.38,4.3,2422105.0,201.8,0.89,0.48,5585.0,95.9,2024,2.0,3078.16,Kota Madiun,1.85,0.435,331.66129032181647,32,-0.3749509957390319
KOTA MALANG,706341.0,84.68,3.91,6.1,3507693.0,872.7,0.9,2.09,7857.0,98.8,2024,2.0,15722.13,Kota Malang,2.02,0.422,491.960999999741,320,-1.5872890196318232
KOTA MOJOKERTO,610968.0,81.76,5.57,3.76,3031000.0,137.4,0.99,0.33,6796.0,98.2,2024,2.0,1424.36,Kota Surabaya,2.35,0.357,69.86448087393518,28,-0.3152904516462747
KOTA PASURUAN,554195.0,78.9,6.32,4.63,3358557.0,219.4,1.43,0.52,5626.0,100.1,2024,2.0,1717.62,Kota Malang,2.02,0.334,174.87692307580207,54,-0.2659156712497583
KOTA PROBOLINGGO,654409.0,77.79,6.18,4.44,2876657.0,249.5,1.09,0.6,4564.0,98.6,2024,2.0,2463.27,Kota Malang,2.02,0.344,464.3923999990712,48,-0.19761463571670987
LAMONGAN,524636.0,75.9,12.16,4.34,3012164.0,1378.2,0.67,3.3,786.0,100.0,2024,2.0,8514.54,Kota Surabaya,2.35,0.281,110.11374947277308,144,-0.06044334298325746
LUMAJANG,405136.0,70.31,8.65,3.28,2429764.0,1145.9,0.63,2.74,638.0,97.8,2024,2.0,6671.31,Kabupaten Jember,1.99,0.363,102.21213735932372,30,0.5338896607626804
MADIUN,460205.0,74.81,10.63,4.34,2400321.0,757.8,0.48,1.81,681.0,97.9,2024,2.0,3812.1,Kota Madiun,1.85,0.309,204.4460661963634,92,0.59589786210143
MAGETAN,455119.0,76.77,9.32,3.28,2406719.0,685.5,0.58,1.64,970.0,96.8,2024,2.0,3803.06,Kota Madiun,1.85,0.371,664.958064505404,19,0.5169202645320964
MALANG,420334.0,73.53,8.98,5.13,3553530.0,2736.0,0.81,6.54,788.0,101.1,2024,2.0,19801.48,Kota Malang,2.02,0.343,335.0625816992095,320,-0.9559725569830518
MOJOKERTO,508618.0,76.69,9.37,3.87,4856026.0,1154.3,0.83,2.76,1172.0,101.1,2024,2.0,17704.9,Kota Surabaya,2.35,0.337,260.7098486667641,130,-0.7734605897302136
NGANJUK,539714.0,75.24,10.17,3.87,2405255.0,1131.8,0.67,2.71,878.0,101.0,2024,2.0,5480.19,Kota Kediri,1.72,0.289,99.42591596635314,51,0.19309416789335596
NGAWI,445865.0,73.91,13.81,2.4,2397928.0,884.1,0.43,2.11,633.0,98.1,2024,2.0,3719.48,Kota Madiun,1.85,0.289,278.89562937014176,26,0.8133921479038814
PACITAN,370643.0,71.49,13.08,1.56,2364287.0,588.6,0.11,1.41,411.0,100.8,2024,2.0,3266.3,Kota Madiun,1.85,0.327,155.32278480816046,21,1.106819450777145
PAMEKASAN,467493.0,70.85,13.41,1.64,2376614.0,884.7,1.07,2.12,1113.0,96.8,2024,2.0,3409.69,Kabupaten Sumenep,3.24,0.301,1553.776271173273,44,0.8452972215706657
PASURUAN,450088.0,72.36,8.63,5.02,4866890.0,1657.2,0.84,3.96,1110.0,100.1,2024,2.0,31125.82,Kota Malang,2.02,0.331,626.389941756132,144,-0.9850328555005339
PONOROGO,413619.0,73.7,9.11,4.19,2402959.0,962.9,0.38,2.3,679.0,99.3,2024,2.0,4280.65,Kota Madiun,1.85,0.326,377.0964968140857,52,0.5371996200901726
PROBOLINGGO,537724.0,70.85,16.45,3.0,2989407.0,1185.2,0.75,2.83,687.0,97.4,2024,2.0,7170.88,Kota Malang,2.02,0.339,810.2825170484748,44,0.29766673720969644
SAMPANG,491753.0,66.72,20.83,2.5,2335661.0,1016.3,1.26,2.43,827.0,98.8,2024,2.0,3850.67,Kabupaten Sumenep,3.24,0.233,24579500000000.0,12,0.6760973486452103
SIDOARJO,597284.0,82.67,4.53,6.49,4870511.0,2171.5,1.12,5.19,2999.0,101.0,2024,2.0,42235.88,Kota Surabaya,2.35,0.327,296.3939366606237,602,-2.2422424603543805
SITUBONDO,413611.0,71.22,11.51,3.15,2335209.0,700.7,0.57,1.68,424.0,96.6,2024,2.0,4036.98,Kabupaten Jember,1.99,0.385,531.3781565649856,41,0.8249542001706147
SUMENEP,506569.0,69.78,17.78,1.69,2406551.0,1153.2,0.68,2.76,553.0,94.1,2024,2.0,6966.74,Kabupaten Sumenep,3.24,0.308,15103.6999848963,27,0.8272695093151023
SURABAYA,742678.0,84.69,3.96,4.91,4961753.0,2922.0,0.44,6.99,8698.0,98.0,2024,2.0,120051.21,Kota Surabaya,2.35,0.381,499.15480795236,1994,-4.143428566744413
TRENGGALEK,434146.0,72.47,10.5,3.9,2378784.0,744.5,0.49,1.78,596.0,100.5,2024,2.0,3712.51,Kota Kediri,1.72,0.35,628.0082474162061,15,0.6136447591840456
TUBAN,488131.0,72.31,14.36,4.28,3050400.0,1225.2,0.6,2.93,621.0,99.7,2024,2.0,12511.09,Kota Surabaya,2.35,0.335,1021.4583521433168,86,0.09089899517488924
TULUNGAGUNG,447793.0,75.13,6.28,4.12,2470800.0,1113.9,0.58,2.66,973.0,100.1,2024,2.0,8007.7,Kota Kediri,1.72,0.321,70.74119947839539,88,0.2047023172027875
BANGKALAN,547017.0,67.33,18.66,5.35,2397550.0,1102.5,1.04,2.64,847.0,97.7,2024,3.0,4508.12,Kota Surabaya,1.65,0.301,1562.5311110763882,34,0.5417450677526668
BANYUWANGI,470713.0,74.3,6.54,4.03,2810139.0,1754.4,0.72,4.2,488.0,100.0,2024,3.0,16317.59,Kabupaten Banyuwangi,2.07,0.312,1715.9388636344136,151,-0.2542831668367305
BATU,642778.0,79.69,3.06,3.63,3360466.0,222.7,1.19,0.53,1147.0,101.3,2024,3.0,3427.55,Kota Malang,1.62,0.327,417.9022653708159,42,-0.21419385390349424
BLITAR,408399.0,73.44,8.16,4.77,2413974.0,1263.7,0.86,3.02,724.0,101.1,2024,3.0,7472.31,Kota Kediri,0.88,0.353,690.4261133589263,52,0.1935691480250183
BOJONEGORO,471457.0,72.75,11.69,4.42,2525132.0,1325.3,0.48,3.17,573.0,100.6,2024,3.0,16058.48,Kota Surabaya,1.65,0.31,45.85274914085409,104,0.13985463145679958
BONDOWOSO,517741.0,71.22,12.6,3.63,2347359.0,792.3,0.55,1.89,510.0,97.3,2024,3.0,4010.07,Kabupaten Jember,1.56,0.333,494.752941175258,37,0.6441003328037871
GRESIK,608828.0,78.93,10.32,6.45,4874133.0,1364.0,1.06,3.26,1086.0,101.4,2024,3.0,30220.45,Kota Surabaya,1.65,0.322,1399.4889753217008,302,-1.414859879038076
JEMBER,459043.0,70.93,9.01,3.23,2838642.0,2603.8,0.7,6.23,786.0,99.3,2024,3.0,16802.63,Kabupaten Jember,1.56,0.321,54.18442186742762,174,-0.44943202507179286
JOMBANG,514170.0,75.67,8.6,3.75,3137004.0,1362.7,0.89,3.26,1228.0,101.6,2024,3.0,8780.83,Kota Surabaya,1.65,0.302,229.07700693744843,90,-0.21872566861371706
KEDIRI,403621.0,75.18,9.95,5.1,2492811.0,1689.9,0.88,4.04,1109.0,101.9,2024,3.0,8918.42,Kota Kediri,0.88,0.3,466.5799610891916,129,-0.013391015016785128
KOTA BLITAR,596105.0,81.44,6.75,5.11,2481450.0,154.9,1.02,0.37,4664.0,98.5,2024,3.0,1448.68,Kota Kediri,0.88,0.353,26.445867098844044,27,-0.06470891554288379
