Nama_Kabupaten_Kota,Garis_Kemiskinan_2024,Indeks_Pembangunan_Manusia,Persen_Penduduk_Miskin,Tingkat Pengangguran Terbuka,Upah Minimum,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk,Tahun,Kuartal,PDRB,Proksi Inflasi,Laju_Inflasi
Kabupaten Bangkalan,547017,67.33,18.66,5.35,2397550.0,1102.5,1.04,2.64,847.0,97.7,2024,1,4323.94,Kota Surabaya,2.99
Kabupaten Bangkalan,547017,67.33,18.66,5.35,2397550.0,1102.5,1.04,2.64,847.0,97.7,2024,2,4425.81,Kota Surabaya,2.35
Kabupaten Bangkalan,547017,67.33,18.66,5.35,2397550.0,1102.5,1.04,2.64,847.0,97.7,2024,3,4508.12,Kota Surabaya,1.65
Kabupaten Bangkalan,547017,67.33,18.66,5.35,2397550.0,1102.5,1.04,2.64,847.0,97.7,2024,4,4239.63,Kota Surabaya,"1,38"
Kabupaten Sampang,491753,66.72,20.83,2.5,2335661.0,1016.3,1.26,2.43,827.0,98.8,2024,1,3727.01,Kabupaten Sumenep,4.68
Kabupaten Sampang,491753,66.72,20.83,2.5,2335661.0,1016.3,1.26,2.43,827.0,98.8,2024,2,3850.67,Kabupaten Sumenep,3.24
Kabupaten Sampang,491753,66.72,20.83,2.5,2335661.0,1016.3,1.26,2.43,827.0,98.8,2024,3,3844.88,Kabupaten Sumenep,2.45
Kabupaten Sampang,491753,66.72,20.83,2.5,2335661.0,1016.3,1.26,2.43,827.0,98.8,2024,4,3502.73,Kabupaten Sumenep,"1,97"
Kabupaten Pamekasan,467493,70.85,13.41,1.64,2376614.0,884.7,1.07,2.12,1113.0,96.8,2024,1,3272.2,Kabupaten Sumenep,4.68
Kabupaten Pamekasan,467493,70.85,13.41,1.64,2376614.0,884.7,1.07,2.12,1113.0,96.8,2024,2,3409.69,Kabupaten Sumenep,3.24
Kabupaten Pamekasan,467493,70.85,13.41,1.64,2376614.0,884.7,1.07,2.12,1113.0,96.8,2024,3,3355.56,Kabupaten Sumenep,2.45
Kabupaten Pamekasan,467493,70.85,13.41,1.64,2376614.0,884.7,1.07,2.12,1113.0,96.8,2024,4,3207.8,Kabupaten Sumenep,"1,97"
