Nama_Kabupaten_Kota,Garis_Kemiskinan_2023,Indeks_Pembangunan_Manusia,Persen_Penduduk_Miskin,Tingkat Pengangguran Terbuka,Upah Minimum,Jumlah Penduduk (Ribu),Laju Pertumbuhan Penduduk per Tahun,Persentase Penduduk,Kepadatan Penduduk per km persegi (Km2),Rasio Jenis Kelamin Penduduk,Tahun,Kuartal,PDRB,Proksi Inflasi,Laju Inflasi
Kabupaten Tuban,454336,71.4,14.91,4.4,2864225.0,1218.6,0.62,2.93,617.0,99.7,2023,3,12583.62,Kota Surabaya,3.14
Kabupaten Tuban,454336,71.4,14.91,4.4,2864225.0,1218.6,0.62,2.93,617.0,99.7,2023,4,12720.27,Kota Surabaya,3.03
Kabupaten Lamongan,481969,75.29,12.42,5.46,2828323.0,1369.5,0.68,3.3,781.0,100.1,2023,1,7759.23,Kota Surabaya,6.3
Kabupaten Lamongan,481969,75.29,12.42,5.46,2828323.0,1369.5,0.68,3.3,781.0,100.1,2023,2,7912.67,Kota Surabaya,4.91
Kabupaten Lamongan,481969,75.29,12.42,5.46,2828323.0,1369.5,0.68,3.3,781.0,100.1,2023,3,7818.37,Kota Surabaya,3.14
Kabupaten Lamongan,481969,75.29,12.42,5.46,2828323.0,1369.5,0.68,3.3,781.0,100.1,2023,4,7218.91,Kota Surabaya,3.03
Kabupaten Gresik,588316,78.44,10.96,6.82,4642031.0,1350.4,1.08,3.25,1075.0,101.4,2023,1,27814.28,Kota Surabaya,6.3
Kabupaten Gresik,588316,78.44,10.96,6.82,4642031.0,1350.4,1.08,3.25,1075.0,101.4,2023,2,28657.1,Kota Surabaya,4.91
Kabupaten Gresik,588316,78.44,10.96,6.82,4642031.0,1350.4,1.08,3.25,1075.0,101.4,2023,3,28557.48,Kota Surabaya,3.14
Kabupaten Gresik,588316,78.44,10.96,6.82,4642031.0,1350.4,1.08,3.25,1075.0,101.4,2023,4,28796.56,Kota Surabaya,3.03
Kabupaten Bangkalan,503207,66.82,19.35,6.18,2240701.0,1091.8,1.07,2.63,839.0,97.6,2023,1,4304.99,Kota Surabaya,6.3
Kabupaten Bangkalan,503207,66.82,19.35,6.18,2240701.0,1091.8,1.07,2.63,839.0,97.6,2023,2,4218.59,Kota Surabaya,4.91
Kabupaten Bangkalan,503207,66.82,19.35,6.18,2240701.0,1091.8,1.07,2.63,839.0,97.6,2023,3,4409.1,Kota Surabaya,3.14
Kabupaten Bangkalan,503207,66.82,19.35,6.18,2240701.0,1091.8,1.07,2.63,839.0,97.6,2023,4,4231.51,Kota Surabaya,3.03
Kabupaten Sampang,454716,66.19,21.76,2.72,2182861.0,1004.5,1.29,2.42,818.0,98.9,2023,1,3690.35,Kabupaten Sumenep,6.43
Kabupaten Sampang,454716,66.19,21.76,2.72,2182861.0,1004.5,1.29,2.42,818.0,98.9,2023,2,3704.11,Kabupaten Sumenep,4.53
Kabupaten Sampang,454716,66.19,21.76,2.72,2182861.0,1004.5,1.29,2.42,818.0,98.9,2023,3,3813.0,Kabupaten Sumenep,4.47
Kabupaten Sampang,454716,66.19,21.76,2.72,2182861.0,1004.5,1.29,2.42,818.0,98.9,2023,4,3466.66,Kabupaten Sumenep,5.08
Kabupaten Pamekasan,431127,70.32,13.85,1.74,2221135.0,875.8,1.09,2.11,1101.0,96.7,2023,1,3229.8,Kabupaten Sumenep,6.43
Kabupaten Pamekasan,431127,70.32,13.85,1.74,2221135.0,875.8,1.09,2.11,1101.0,96.7,2023,2,3244.16,Kabupaten Sumenep,4.53
Kabupaten Pamekasan,431127,70.32,13.85,1.74,2221135.0,875.8,1.09,2.11,1101.0,96.7,2023,3,3201.0,Kabupaten Sumenep,4.47
Kabupaten Pamekasan,431127,70.32,13.85,1.74,2221135.0,875.8,1.09,2.11,1101.0,96.7,2023,4,2953.72,Kabupaten Sumenep,5.08
Kabupaten Sumenep,471860,69.13,18.7,1.71,2249113.0,1146.6,0.71,2.76,550.0,94.0,2023,1,6366.02,Kabupaten Sumenep,6.43
Kabupaten Sumenep,471860,69.13,18.7,1.71,2249113.0,1146.6,0.71,2.76,550.0,94.0,2023,2,6785.71,Kabupaten Sumenep,4.53
Kabupaten Sumenep,471860,69.13,18.7,1.71,2249113.0,1146.6,0.71,2.76,550.0,94.0,2023,3,6918.36,Kabupaten Sumenep,4.47
Kabupaten Sumenep,471860,69.13,18.7,1.71,2249113.0,1146.6,0.71,2.76,550.0,94.0,2023,4,6174.7,Kabupaten Sumenep,5.08
Kota Kediri,587723,80.97,7.15,4.06,2415362.0,295.2,2.94,0.71,4391.0,100.5,2023,1,22653.69,Kota Kediri,5.36
Kota Kediri,587723,80.97,7.15,4.06,2415362.0,295.2,2.94,0.71,4391.0,100.5,2023,2,22333.23,Kota Kediri,3.92
Kota Kediri,587723,80.97,7.15,4.06,2415362.0,295.2,2.94,0.71,4391.0,100.5,2023,3,22945.23,Kota Kediri,2.55
Kota Kediri,587723,80.97,7.15,4.06,2415362.0,295.2,2.94,0.71,4391.0,100.5,2023,4,23699.21,Kota Kediri,2.64
Kota Blitar,568280,80.78,7.3,5.24,2330000.0,153.4,2.86,0.37,4619.0,98.6,2023,1,1322.43,Kota Kediri,5.36
Kota Blitar,568280,80.78,7.3,5.24,2330000.0,153.4,2.86,0.37,4619.0,98.6,2023,2,1370.59,Kota Kediri,3.92
Kota Blitar,568280,80.78,7.3,5.24,2330000.0,153.4,2.86,0.37,4619.0,98.6,2023,3,1372.03,Kota Kediri,2.55
Kota Blitar,568280,80.78,7.3,5.24,2330000.0,153.4,2.86,0.37,4619.0,98.6,2023,4,1390.76,Kota Kediri,2.64
Kota Malang,674660,84.0,4.26,6.8,3309144.0,865.3,2.55,2.08,7790.0,98.9,2023,1,14547.44,Kota Malang,5.74
Kota Malang,674660,84.0,4.26,6.8,3309144.0,865.3,2.55,2.08,7790.0,98.9,2023,2,14953.48,Kota Malang,3.85
Kota Malang,674660,84.0,4.26,6.8,3309144.0,865.3,2.55,2.08,7790.0,98.9,2023,3,15182.62,Kota Malang,2.27
