id,id_index,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,modal_usaha__triliun_rp_,periode_update,satuan,tahun
112,112112,35,JAWA TIMUR,3575,KOTA PASURUAN,"0,03",2023-Q3,TRILIUN RUPIAH,2023
113,113113,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,"0,03",2023-Q3,TRILIUN RUPIAH,2023
114,114114,35,JAWA TIMUR,3578,KOTA SURABAYA,"0,63",2023-Q3,TRILIUN RUPIAH,2023
115,115115,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,"0,02",2023-Q4,TRILIUN RUPIAH,2023
116,116116,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,"0,10",2023-Q4,TRILIUN RUPIAH,2023
117,117117,35,JAWA TIMUR,3505,KABUPATEN BLITAR,"0,05",2023-Q4,TRILIUN RUPIAH,2023
118,118118,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,"0,08",2023-Q4,TRILIUN RUPIAH,2023
119,119119,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,"0,02",2023-Q4,TRILIUN RUPIAH,2023
120,120120,35,JAWA TIMUR,3525,KABUPATEN GRESIK,"0,19",2023-Q4,TRILIUN RUPIAH,2023
121,121121,35,JAWA TIMUR,3509,KABUPATEN JEMBER,"0,11",2023-Q4,TRILIUN RUPIAH,2023
122,122122,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,"0,06",2023-Q4,TRILIUN RUPIAH,2023
123,123123,35,JAWA TIMUR,3506,KABUPATEN KEDIRI,"0,08",2023-Q4,TRILIUN RUPIAH,2023
124,124124,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,"0,05",2023-Q4,TRILIUN RUPIAH,2023
125,125125,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,"0,05",2023-Q4,TRILIUN RUPIAH,2023
126,126126,35,JAWA TIMUR,3519,KABUPATEN MADIUN,"0,05",2023-Q4,TRILIUN RUPIAH,2023
127,127127,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,"0,03",2023-Q4,TRILIUN RUPIAH,2023
128,128128,35,JAWA TIMUR,3507,KABUPATEN MALANG,"0,19",2023-Q4,TRILIUN RUPIAH,2023
129,129129,35,JAWA TIMUR,3516,KABUPATEN MOJOKERTO,"0,07",2023-Q4,TRILIUN RUPIAH,2023
130,130130,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,"0,03",2023-Q4,TRILIUN RUPIAH,2023
131,131131,35,JAWA TIMUR,3521,KABUPATEN NGAWI,"0,05",2023-Q4,TRILIUN RUPIAH,2023
132,132132,35,JAWA TIMUR,3501,KABUPATEN PACITAN,"0,03",2023-Q4,TRILIUN RUPIAH,2023
133,133133,35,JAWA TIMUR,3528,KABUPATEN PAMEKASAN,"0,03",2023-Q4,TRILIUN RUPIAH,2023
134,134134,35,JAWA TIMUR,3514,KABUPATEN PASURUAN,"0,10",2023-Q4,TRILIUN RUPIAH,2023
135,135135,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,"0,04",2023-Q4,TRILIUN RUPIAH,2023
136,136136,35,JAWA TIMUR,3513,KABUPATEN PROBOLINGGO,"0,03",2023-Q4,TRILIUN RUPIAH,2023
137,137137,35,JAWA TIMUR,3527,KABUPATEN SAMPANG,"0,02",2023-Q4,TRILIUN RUPIAH,2023
138,138138,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,"0,34",2023-Q4,TRILIUN RUPIAH,2023
139,139139,35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,"0,04",2023-Q4,TRILIUN RUPIAH,2023
140,140140,35,JAWA TIMUR,3529,KABUPATEN SUMENEP,"0,04",2023-Q4,TRILIUN RUPIAH,2023
141,141141,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,"0,04",2023-Q4,TRILIUN RUPIAH,2023
142,142142,35,JAWA TIMUR,3523,KABUPATEN TUBAN,"0,05",2023-Q4,TRILIUN RUPIAH,2023
143,143143,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,"0,08",2023-Q4,TRILIUN RUPIAH,2023
144,144144,35,JAWA TIMUR,3579,KOTA BATU,"0,03",2023-Q4,TRILIUN RUPIAH,2023
145,145145,35,JAWA TIMUR,3572,KOTA BLITAR,"0,06",2023-Q4,TRILIUN RUPIAH,2023
146,146146,35,JAWA TIMUR,3571,KOTA KEDIRI,"0,06",2023-Q4,TRILIUN RUPIAH,2023
147,147147,35,JAWA TIMUR,3577,KOTA MADIUN,"0,04",2023-Q4,TRILIUN RUPIAH,2023
148,148148,35,JAWA TIMUR,3573,KOTA MALANG,"0,17",2023-Q4,TRILIUN RUPIAH,2023
149,149149,35,JAWA TIMUR,3576,KOTA MOJOKERTO,"0,03",2023-Q4,TRILIUN RUPIAH,2023
150,150150,35,JAWA TIMUR,3575,KOTA PASURUAN,"0,06",2023-Q4,TRILIUN RUPIAH,2023
151,151151,35,JAWA TIMUR,3574,KOTA PROBOLINGGO,"0,03",2023-Q4,TRILIUN RUPIAH,2023
152,152152,35,JAWA TIMUR,3578,KOTA SURABAYA,"0,70",2023-Q4,TRILIUN RUPIAH,2023
153,153153,35,JAWA TIMUR,3526,KABUPATEN BANGKALAN,"0,03",2024-Q1,TRILIUN RUPIAH,2024
154,154154,35,JAWA TIMUR,3510,KABUPATEN BANYUWANGI,"0,11",2024-Q1,TRILIUN RUPIAH,2024
155,155155,35,JAWA TIMUR,3505,KABUPATEN BLITAR,"0,04",2024-Q1,TRILIUN RUPIAH,2024
156,156156,35,JAWA TIMUR,3522,KABUPATEN BOJONEGORO,"0,07",2024-Q1,TRILIUN RUPIAH,2024
157,157157,35,JAWA TIMUR,3511,KABUPATEN BONDOWOSO,"0,03",2024-Q1,TRILIUN RUPIAH,2024
158,158158,35,JAWA TIMUR,3525,KABUPATEN GRESIK,"0,10",2024-Q1,TRILIUN RUPIAH,2024
159,159159,35,JAWA TIMUR,3509,KABUPATEN JEMBER,"0,09",2024-Q1,TRILIUN RUPIAH,2024
160,160160,35,JAWA TIMUR,3517,KABUPATEN JOMBANG,"0,05",2024-Q1,TRILIUN RUPIAH,2024
161,161161,35,JAWA TIMUR,3506,KABUPATEN KEDIRI,"0,13",2024-Q1,TRILIUN RUPIAH,2024
162,162162,35,JAWA TIMUR,3524,KABUPATEN LAMONGAN,"0,12",2024-Q1,TRILIUN RUPIAH,2024
163,163163,35,JAWA TIMUR,3508,KABUPATEN LUMAJANG,"0,05",2024-Q1,TRILIUN RUPIAH,2024
164,164164,35,JAWA TIMUR,3519,KABUPATEN MADIUN,"0,04",2024-Q1,TRILIUN RUPIAH,2024
165,165165,35,JAWA TIMUR,3520,KABUPATEN MAGETAN,"0,02",2024-Q1,TRILIUN RUPIAH,2024
166,166166,35,JAWA TIMUR,3507,KABUPATEN MALANG,"0,20",2024-Q1,TRILIUN RUPIAH,2024
167,167167,35,JAWA TIMUR,3516,KABUPATEN MOJOKERTO,"0,07",2024-Q1,TRILIUN RUPIAH,2024
168,168168,35,JAWA TIMUR,3518,KABUPATEN NGANJUK,"0,02",2024-Q1,TRILIUN RUPIAH,2024
169,169169,35,JAWA TIMUR,3521,KABUPATEN NGAWI,"0,03",2024-Q1,TRILIUN RUPIAH,2024
170,170170,35,JAWA TIMUR,3501,KABUPATEN PACITAN,"0,03",2024-Q1,TRILIUN RUPIAH,2024
171,171171,35,JAWA TIMUR,3528,KABUPATEN PAMEKASAN,"0,05",2024-Q1,TRILIUN RUPIAH,2024
172,172172,35,JAWA TIMUR,3514,KABUPATEN PASURUAN,"0,11",2024-Q1,TRILIUN RUPIAH,2024
173,173173,35,JAWA TIMUR,3502,KABUPATEN PONOROGO,"0,04",2024-Q1,TRILIUN RUPIAH,2024
174,174174,35,JAWA TIMUR,3513,KABUPATEN PROBOLINGGO,"0,05",2024-Q1,TRILIUN RUPIAH,2024
175,175175,35,JAWA TIMUR,3527,KABUPATEN SAMPANG,"0,02",2024-Q1,TRILIUN RUPIAH,2024
176,176176,35,JAWA TIMUR,3515,KABUPATEN SIDOARJO,"0,32",2024-Q1,TRILIUN RUPIAH,2024
177,177177,35,JAWA TIMUR,3512,KABUPATEN SITUBONDO,"0,06",2024-Q1,TRILIUN RUPIAH,2024
178,178178,35,JAWA TIMUR,3529,KABUPATEN SUMENEP,"0,03",2024-Q1,TRILIUN RUPIAH,2024
179,179179,35,JAWA TIMUR,3503,KABUPATEN TRENGGALEK,"0,02",2024-Q1,TRILIUN RUPIAH,2024
180,180180,35,JAWA TIMUR,3523,KABUPATEN TUBAN,"0,05",2024-Q1,TRILIUN RUPIAH,2024
181,181181,35,JAWA TIMUR,3504,KABUPATEN TULUNGAGUNG,"0,17",2024-Q1,TRILIUN RUPIAH,2024
182,182182,35,JAWA TIMUR,3579,KOTA BATU,"0,03",2024-Q1,TRILIUN RUPIAH,2024
183,183183,35,JAWA TIMUR,3572,KOTA BLITAR,"0,02",2024-Q1,TRILIUN RUPIAH,2024
184,184184,35,JAWA TIMUR,3571,KOTA KEDIRI,"0,03",2024-Q1,TRILIUN RUPIAH,2024
185,185185,35,JAWA TIMUR,3577,KOTA MADIUN,"0,02",2024-Q1,TRILIUN RUPIAH,2024
186,186186,35,JAWA TIMUR,3573,KOTA MALANG,"0,19",2024-Q1,TRILIUN RUPIAH,2024
187,187187,35,JAWA TIMUR,3576,KOTA MOJOKERTO,"0,03",2024-Q1,TRILIUN RUPIAH,2024
188,188188,35,JAWA TIMUR,3575,KOTA PASURUAN,"0,03",2024-Q1,TRILIUN RUPIAH,2024
