id,id_index,kode_provinsi,nama_provinsi,deskripsi,target,realisasi,periode_update,satuan,tahun
132,132132,35,JAWA TIMUR,MEI,80%,98.75%,2024,PERSEN (%),2024
133,133133,35,JAWA TIMUR,JUNI,80%,96.48%,2024,PERSEN (%),2024
134,134134,35,JAWA TIMUR,JULI,80%,98.21%,2024,PERSEN (%),2024
135,135135,35,JAWA TIMUR,JANUARI,80%,99.86%,2024,PERSEN (%),2024
136,136136,35,JAWA TIMUR,FEBRUARI,80%,99.88%,2024,PERSEN (%),2024
137,137137,35,JAWA TIMUR,MARET,80%,99.81%,2024,PERSEN (%),2024
138,138138,35,JAWA TIMUR,APRIL,80%,99.10%,2024,PERSEN (%),2024
139,139139,35,JAWA TIMUR,MEI,80%,98.75%,2024,PERSEN (%),2024
140,140140,35,JAWA TIMUR,JUNI,80%,96.48%,2024,PERSEN (%),2024
141,141141,35,JAWA TIMUR,JULI,80%,98.21%,2024,PERSEN (%),2024
142,142142,35,JAWA TIMUR,AGUSTUS,80%,99.63%,2024,PERSEN (%),2024
143,143143,35,JAWA TIMUR,JANUARI,80%,99.86%,2024,PERSEN (%),2024
144,144144,35,JAWA TIMUR,FEBRUARI,80%,99.88%,2024,PERSEN (%),2024
145,145145,35,JAWA TIMUR,MARET,80%,99.81%,2024,PERSEN (%),2024
146,146146,35,JAWA TIMUR,APRIL,80%,99.10%,2024,PERSEN (%),2024
147,147147,35,JAWA TIMUR,MEI,80%,98.75%,2024,PERSEN (%),2024
148,148148,35,JAWA TIMUR,JUNI,80%,96.48%,2024,PERSEN (%),2024
149,149149,35,JAWA TIMUR,JULI,80%,98.21%,2024,PERSEN (%),2024
150,150150,35,JAWA TIMUR,AGUSTUS,80%,99.63%,2024,PERSEN (%),2024
151,151151,35,JAWA TIMUR,SEPTEMBER,80%,98.90%,2024,PERSEN (%),2024
152,152152,35,JAWA TIMUR,JANUARI,80%,99.86%,2024,PERSEN (%),2024
153,153153,35,JAWA TIMUR,FEBRUARI,80%,99.88%,2024,PERSEN (%),2024
154,154154,35,JAWA TIMUR,MARET,80%,99.81%,2024,PERSEN (%),2024
155,155155,35,JAWA TIMUR,APRIL,80%,99.10%,2024,PERSEN (%),2024
156,156156,35,JAWA TIMUR,MEI,80%,98.75%,2024,PERSEN (%),2024
157,157157,35,JAWA TIMUR,JUNI,80%,96.48%,2024,PERSEN (%),2024
158,158158,35,JAWA TIMUR,JULI,80%,98.21%,2024,PERSEN (%),2024
159,159159,35,JAWA TIMUR,AGUSTUS,80%,99.63%,2024,PERSEN (%),2024
160,160160,35,JAWA TIMUR,SEPTEMBER,80%,98.90%,2024,PERSEN (%),2024
161,161161,35,JAWA TIMUR,OKTOBER,80%,99.68%,2024,PERSEN (%),2024
162,162162,35,JAWA TIMUR,JANUARI,80%,99.86%,2024,PERSEN (%),2024
163,163163,35,JAWA TIMUR,FEBRUARI,80%,99.88%,2024,PERSEN (%),2024
164,164164,35,JAWA TIMUR,MARET,80%,99.81%,2024,PERSEN (%),2024
165,165165,35,JAWA TIMUR,APRIL,80%,99.10%,2024,PERSEN (%),2024
166,166166,35,JAWA TIMUR,MEI,80%,98.75%,2024,PERSEN (%),2024
167,167167,35,JAWA TIMUR,JUNI,80%,96.48%,2024,PERSEN (%),2024
168,168168,35,JAWA TIMUR,JULI,80%,98.21%,2024,PERSEN (%),2024
169,169169,35,JAWA TIMUR,AGUSTUS,80%,99.63%,2024,PERSEN (%),2024
170,170170,35,JAWA TIMUR,SEPTEMBER,80%,98.90%,2024,PERSEN (%),2024
171,171171,35,JAWA TIMUR,OKTOBER,80%,99.68%,2024,PERSEN (%),2024
172,172172,35,JAWA TIMUR,NOVEMBER,80%,98.98%,2024,PERSEN (%),2024
173,173173,35,JAWA TIMUR,JANUARI,80%,99.86%,2024,PERSEN (%),2024
174,174174,35,JAWA TIMUR,FEBRUARI,80%,99.88%,2024,PERSEN (%),2024
175,175175,35,JAWA TIMUR,MARET,80%,99.81%,2024,PERSEN (%),2024
176,176176,35,JAWA TIMUR,APRIL,80%,99.10%,2024,PERSEN (%),2024
177,177177,35,JAWA TIMUR,MEI,80%,98.75%,2024,PERSEN (%),2024
178,178178,35,JAWA TIMUR,JUNI,80%,96.48%,2024,PERSEN (%),2024
179,179179,35,JAWA TIMUR,JULI,80%,98.21%,2024,PERSEN (%),2024
180,180180,35,JAWA TIMUR,AGUSTUS,80%,99.63%,2024,PERSEN (%),2024
181,181181,35,JAWA TIMUR,SEPTEMBER,80%,98.90%,2024,PERSEN (%),2024
182,182182,35,JAWA TIMUR,OKTOBER,80%,99.68%,2024,PERSEN (%),2024
183,183183,35,JAWA TIMUR,NOVEMBER,80%,98.98%,2024,PERSEN (%),2024
184,184184,35,JAWA TIMUR,DESEMBER,80%,99.27%,2024,PERSEN (%),2024
185,185185,35,JAWA TIMUR,JANUARI,80%,98.70%,2025,PERSEN (%),2025
186,186186,35,JAWA TIMUR,FEBRUARI,80%,97.07%,2025,PERSEN (%),2025
187,187187,35,JAWA TIMUR,MARET,80%,98.35%,2025,PERSEN (%),2025
188,188188,35,JAWA TIMUR,APRIL,80%,99.57%,2025,PERSEN (%),2025
189,189189,35,JAWA TIMUR,MEI,80%,79.24%,2025,PERSEN (%),2025
190,190190,35,JAWA TIMUR,JUNI,80%,78.69%,2025,PERSEN (%),2025
