id,id_index,kode_provinsi,nama_provinsi,bidang_usaha,modal_usaha__triliun_rp_,periode_update,satuan,tahun
190,191190,35,JAWA TIMUR,INDUSTRI TEKSTIL,"0,01",2025-Q1,TRILIUN RUPIAH,2025
191,192191,35,JAWA TIMUR,INDUSTRI BARANG DARI KULIT DAN   ALAS KAKI,"0,00",2025-Q1,TRILIUN RUPIAH,2025
192,193192,35,JAWA TIMUR,INDUSTRI KAYU,"0,01",2025-Q1,TRILIUN RUPIAH,2025
193,129193,35,JAWA TIMUR,INDUSTRI KERTAS DAN PERCETAKAN,"0,02",2025-Q1,TRILIUN RUPIAH,2025
194,194194,35,JAWA TIMUR,INDUSTRI KIMIA DAN FARMASI,"0,02",2025-Q1,TRILIUN RUPIAH,2025
195,195195,35,JAWA TIMUR,INDUSTRI KARET DAN PLASTIK,"0,01",2025-Q1,TRILIUN RUPIAH,2025
196,196196,35,JAWA TIMUR,INDUSTRI MINERAL NON LOGAM,"0,02",2025-Q1,TRILIUN RUPIAH,2025
197,197197,35,JAWA TIMUR,"INDUSTRI LOGAM DASAR, BARANG   LOGAM, BUKAN MESIN DAN PERALATANNYA","0,03",2025-Q1,TRILIUN RUPIAH,2025
198,198198,35,JAWA TIMUR,"INDUSTRI  MESIN, ELEKTRONIK, INSTRUMEN KEDOKTERAN,   PERALATAN LISTRIK, PRESISI, OPTIK DAN JAM","0,01",2025-Q1,TRILIUN RUPIAH,2025
199,199199,35,JAWA TIMUR,INDUSTRI KENDARAAN BERMOTOR DAN   ALAT TRANSPORTASI LAIN,"0,01",2025-Q1,TRILIUN RUPIAH,2025
200,200200,35,JAWA TIMUR,INDUSTRI LAINNYA,"0,02",2025-Q1,TRILIUN RUPIAH,2025
201,201201,35,JAWA TIMUR,"LISTRIK, GAS DAN AIR","0,01",2025-Q1,TRILIUN RUPIAH,2025
